Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominica,DMA,,,,,,98.52012,92.87918,92.51731,,86.81742,85.95189,84.34806,87.72838,,,,,,,,,,,,,,,,,,98.3451,92.80762,94.44293,92.1144,90.36291,87.91784,86.82763,83.08997,83.93383,91.3626,,98.82664,,,,,97.98016,,,,
Dominican Republic,DOM,,,76.02281,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99825,86.10226,,92.74606,89.83362,84.60371,86.01771,84.15028,90.15731,86.59027,95.30545,94.77342,94.69471,93.69395,93.401,91.68219,95.53493,95.13993,94.3396,93.86741,,
Ecuador,ECU,,79.53869,,80.0407,80.97535,80.34071,80.7904,83.90445,85.77794,88.93417,87.55129,,,,,,,,,,,,,,91.98211,92.52188,93.75276,96.26485,96.70436,96.46883,97.06899,98.41587,99.19177,99.12592,,97.90248,98.50055,99.09378,94.52771,98.13321,98.34545,98.21353,97.92038,98.0594,97.85115,98.16284,98.06549,98.03402,97.5804,,
"Egypt, Arab Rep.",EGY,,65.011,65.41723,65.24742,,,,,66.92664,,,,,,,,,,,,,,,,87.3875,,,89.25208,,87.03368,88.71319,89.51582,90.3736,91.28832,,92.39762,89.64569,94.16692,,95.62902,97.74411,95.64312,98.53698,,98.94022,,98.64429,98.59325,98.45783,,
El Salvador,SLV,64.90084,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.97803,,90.9739,91.42963,93.12007,93.12703,,96.56531,96.49188,95.83065,95.95292,96.00262,96.08011,95.56687,94.50516,91.64358,89.15295,86.61827,85.17199,80.96574,81.60033,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,63.93221,,,,,,65.47315,72.16857,69.7981,67.67795,,,,,47.10148,45.87645,45.07741,46.07595,47.39401,,,44.34574,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,29.11171,,32.91022,34.33193,36.58888,37.35682,,45.58128,53.25711,56.43181,64.825,73.05602,78.8857,83.66313,85.37455,79.29883,74.9038,69.75328,65.47023,68.26769,70.32085,64.55161,63.45906,60.04856,,52.25595,51.8316,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,87.03452,90.60952,,99.22158,,,,,,,,,,,,99.11009,99.64202,99.62533,98.43758,94.38091,93.72162,93.68565,93.93227,,,
Eswatini,SWZ,57.9649,57.77068,59.79657,62.81896,63.84233,66.19718,67.11695,68.1626,68.19032,68.717,70.26351,72.37708,71.49324,69.97579,69.97716,71.29293,70.4673,71.17124,70.90343,70.43201,72.41227,72.87263,74.33011,74.13622,76.18171,79.10908,78.57436,,,,,,,,,,,,,82.0736,87.86639,89.41311,88.33795,84.57806,85.37085,84.30768,84.37134,82.59389,,,
Ethiopia,ETH,,,,,,,,,,,,,,,,,,29.42184,29.97445,28.70256,,,,,19.18834,21.94671,26.19184,,33.66542,36.1702,40.27072,44.56625,46.8104,47.54802,50.34928,61.18754,65.75849,70.93256,76.57609,76.13867,74.19156,78.06719,79.24993,,85.7378,85.19824,,,,,
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,96.64656,,97.00467,95.49888,93.14733,93.57705,94.55807,94.26094,94.87509,97.95979,99.21103,99.36104,99.15376,,99.12584,99.60494,99.32028,99.12058,,99.23266,99.07498,99.13365,,99.11664,99.4431,,,,
Finland,FIN,,,81.14138,,,,,,,97.03223,,,,,,,,,,,,,,98.75371,98.63792,98.31477,98.36753,98.71485,99.48253,99.83826,99.73543,99.75645,99.39526,98.67927,97.74542,97.34612,96.81107,97.4139,97.85486,98.0157,98.30938,98.57445,99.10306,99.11242,99.43563,99.20198,99.12044,98.6897,,,
